Series Name,Series Code,Country Name,Country Code,1990,2000,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,2945.83204,3522.310821,7617.310041,7050.573472,7224.912737,7495.220866,6402.910183,6982.917492,7296.092142,7503.878588,7203.064221,6404.899932
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,2622.262881,3749.910848,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732,8897.552966,6796.844542
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,,,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,13607.89027,18012.50219,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,27442.95383
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,2366.529821,1621.242961,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338
GDP per capita (current US$),NY.GDP.PCAP.CD,Burkina Faso,BFA,351.9792335,255.7186873,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297
GDP per capita (current US$),NY.GDP.PCAP.CD,Burundi,BDI,208.1466789,136.4639708,249.5779794,252.3588707,256.9756526,274.8578362,305.5496525,260.5652208,253.8263541,238.783467,228.2135892,238.9907259
GDP per capita (current US$),NY.GDP.PCAP.CD,Cabo Verde,CPV,908.0881284,1259.353067,3740.374103,3447.4831,3616.03557,3588.625584,3043.031382,3130.998753,3289.902203,3616.464537,3603.775241,3064.272388
GDP per capita (current US$),NY.GDP.PCAP.CD,Cambodia,KHM,,300.613679,882.275614,950.880346,1013.420536,1093.495976,1162.904995,1269.591499,1385.260066,1512.126989,1643.121389,1543.669258
GDP per capita (current US$),NY.GDP.PCAP.CD,Cameroon,CMR,1045.364362,681.102043,1465.145788,1403.522915,1527.751257,1604.214035,1382.50979,1413.255957,1469.4475,1585.240534,1533.095688,1537.130218
GDP per capita (current US$),NY.GDP.PCAP.CD,Canada,CAN,21448.36196,24271.00206,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.35644,46548.52036,46338.34096,43294.64816
GDP per capita (current US$),NY.GDP.PCAP.CD,Cayman Islands,CYM,,,72329.66133,72777.14849,73514.66868,74990.43322,76284.19393,78471.62873,81513.16302,86059.73922,91392.64259,85082.52686
GDP per capita (current US$),NY.GDP.PCAP.CD,Central African Republic,CAF,513.3041877,251.2072914,551.7497219,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.9006579,475.9538139,467.9080323,492.7958712
GDP per capita (current US$),NY.GDP.PCAP.CD,Chad,TCD,291.5533573,166.1757089,984.7361305,967.3529488,979.8117426,1020.287979,776.0197523,693.4497674,665.9488849,726.1510071,709.5400432,659.270045
GDP per capita (current US$),NY.GDP.PCAP.CD,Channel Islands,CHI,,43382.82685,,,,,,,,,,
GDP per capita (current US$),NY.GDP.PCAP.CD,Chile,CHL,2494.526796,5074.902616,14637.23344,15351.54074,15842.93648,14670.98891,13574.16924,13753.59215,14998.81706,15888.14436,14741.7144,13231.70421
GDP per capita (current US$),NY.GDP.PCAP.CD,China,CHN,317.884673,959.3724836,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.83817,10434.77519
GDP per capita (current US$),NY.GDP.PCAP.CD,Colombia,COL,1445.32863,2520.481089,7335.166934,8050.255372,8218.347844,8114.343921,6175.87603,5870.777957,6376.706716,6729.583332,6424.979492,5334.556042
GDP per capita (current US$),NY.GDP.PCAP.CD,Comoros,COM,1043.790659,647.4258118,1447.945144,1403.360252,1505.337292,1513.830379,1242.585608,1273.050952,1323.814843,1428.290463,1401.542312,1420.661747
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Dem. Rep.",COD,270.1305434,405.2162186,387.082477,424.6003738,457.9637475,486.7870951,497.3170391,471.3188225,467.0742317,560.8073582,580.7168706,543.9503925
GDP per capita (current US$),NY.GDP.PCAP.CD,"Congo, Rep.",COG,1187.549772,1032.137542,3557.55617,3923.093509,3883.746848,3776.485568,2447.539308,2050.993415,2169.991504,2606.615331,2369.729494,1846.131297
GDP per capita (current US$),NY.GDP.PCAP.CD,Costa Rica,CRI,1831.000151,3789.053886,9229.834517,10075.00462,10744.09102,10847.16967,11642.77805,12011.22275,12225.57449,12485.4239,12693.82796,12140.85415
GDP per capita (current US$),NY.GDP.PCAP.CD,Cote d'Ivoire,CIV,905.3220195,1007.46739,1744.938897,1684.781586,1935.946845,2156.645883,1972.545683,2013.381448,2111.026557,2314.050958,2276.332394,2325.723705
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,,4887.713716,14757.18034,13401.65662,13837.73164,13762.37286,11933.37738,12527.73986,13629.28959,15227.5601,15311.7669,14134.16268
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2703.168294,2747.100303,6139.718783,6497.314764,6837.71168,7133.337679,7694.014637,8060.796598,8541.213686,8824.194008,9125.878679,9477.852873
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,,,20146.38641,20587.39736,20462.71795,20258.00969,19951.3279,19555.36585,19457.53152,19630.89349,19701.27038,16745.72431
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,9641.575273,14388.34806,32396.38574,28912.15694,27729.1927,27163.33297,23408.33668,24605.92083,26608.87509,29334.11093,29206.07672,27527.84531
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,3941.503094,6029.038193,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,22931.2746
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,26891.44645,30743.54768,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,61063.31643
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,766.1474429,768.1835703,1451.548081,1559.240651,2312.720948,2464.294905,2658.949245,2802.166204,2914.358197,3141.861711,3414.916178,3425.484176
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,2860.322479,4787.801441,7065.460372,6849.455933,7016.380071,7317.486143,7597.288894,8080.968623,7274.517731,7687.462963,8516.280039,7003.859021
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,991.6148411,2869.178139,5913.426649,6110.366576,6238.132367,6608.825501,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,7268.19691
