Country Code,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,SP.POP.GROW,,2.23646248870739,1.43284322614281,0.823501771578378,0.580333648994307,0.573498328455836,0.599694129002322,0.59095086704467,0.572063301528206,0.609679886321987,0.570440581179553,0.627786589980425,0.682367620768533,0.644545679793952,0.481936625021477,0.207955183046078,-0.110525502223771,-0.36378107450423,-0.438291368028648,-0.216533222502543,0.208213685729551,0.769119805244815,1.27973395866266,1.41155199934117,0.98050194109415,0.314660569517015,-0.603173653103406,-1.2965807467868,-1.24645662267741,-0.0638794501882657,1.81682961471285,3.89873869259527,5.44605186093513,6.04866907817334,5.64493013315797,4.61015602034766,3.5311095126236,2.65518589351506,2.11899319632155,1.96161466901839,2.06484055952557,2.20516342003217,2.23551495177429,2.1083235826171,1.76547290871368,1.29195043537796,0.798578360971686,0.391971044676888,0.13426266158903,0.08875127546184,0.20973141399036,0.377979489354876,0.503385467824644,0.583290430309314,0.590508188771418,0.541048337127457,0.502859513587608,0.471874002595904,0.459265888430662,0.437414675818993,0.428016948088116,
AFE,SP.POP.GROW,,2.53982204466764,2.57518150781786,2.60683884776101,2.63321273922708,2.65648844806203,2.67708388522001,2.69964706541859,2.72824626696368,2.76459958811448,2.80501155231971,2.84450720022167,2.87891273113405,2.90627769286782,2.92606912794527,2.93978909815449,2.95088379362394,2.96098331834909,2.96616440765349,2.97244892814025,2.97433613234995,2.97064777606235,2.96538380224109,2.96563555286468,2.97557259469808,2.98649321743407,2.99763281058974,3.00109538804205,2.98717189694202,2.95640481228543,2.91305853091505,2.87107833069385,2.83201349551889,2.79129424468773,2.75137399651173,2.71042005666527,2.67385116133416,2.64295890392184,2.62126438723469,2.61296984671395,2.61227550562855,2.61460536319429,2.61958587805167,2.62936412063728,2.64581127984881,2.6660152226156,2.6857491241433,2.70318783286716,2.72002279973739,2.73457776072293,2.74740956025077,2.75661924889133,2.76342579830968,2.76149556849235,2.75040021306161,2.73259763999667,2.71221797789649,2.69090172827046,2.66561953897049,2.63666633689952,2.60542748736259,
AFG,SP.POP.GROW,,1.89849871864013,1.96580482827753,2.02983029774638,2.09020770865721,2.14763884614552,2.17106818556713,2.18816458929405,2.25448537032307,2.38467438052838,2.53674360272129,2.66512850460028,2.71453854729245,2.65905658521727,2.47951659114535,2.20073128110818,1.98138858740406,1.74774777496605,1.2817151973175,0.522282314962146,-0.407658191922243,-1.3934163397202,-2.21977958780843,-2.71285408602014,-2.69538173169936,-2.2045162396444,-1.70675553634083,-1.12798940191383,0.116007964937545,2.13629507171115,4.47695437953718,6.90012448590171,8.54610700459867,8.790896706627,7.65979553393712,5.88427856371589,4.0194777158615,2.63650176396731,1.9473438616857,2.17042851112236,2.97505722281038,3.90280496415438,4.4967187466326,4.66834379545461,4.32155951673842,3.68269988149014,2.9905238360968,2.49383039084495,2.26827304079294,2.39697830237036,2.74661463795293,3.14310555651301,3.40760003260595,3.49459192739625,3.35560233082199,3.07705362914441,2.77803478841236,2.54783303994568,2.38430907940751,2.31307334941778,2.30381209309418,
AFW,SP.POP.GROW,2.03430838428429,2.08597167909319,2.13372451600884,2.17336092943215,2.20284497410243,2.22613411447949,2.24805555976275,2.27356228421789,2.30415269000352,2.34152192770108,2.38387078652696,2.42395208529305,2.46313353483303,2.50870668707508,2.56179941911947,2.61794960143682,2.67278569176403,2.7197323204979,2.75411921320728,2.77343668656775,2.78142544618063,2.78499793465927,2.78746472710371,2.78685079662876,2.78381680674688,2.77869450334201,2.7731111050382,2.76569800251829,2.75403794428111,2.73751833738369,2.71893185481315,2.69936409647346,2.6834204187986,2.67549644760668,2.67743013425377,2.68585955906708,2.6973251817829,2.70686680273056,2.71216021004506,2.7113996710097,2.70753222038968,2.70170548800668,2.69958855738133,2.70613925906413,2.72345348403336,2.74673109341541,2.77064339768816,2.78872200310769,2.79811230813043,2.79655841100433,2.7873725353495,2.775170988939,2.76380250826622,2.75356415432408,2.74554220539586,2.73833156598,2.73033179083436,2.71932994204438,2.7041680375953,2.68415173928712,2.6609016309306,
AGO,SP.POP.GROW,,1.39289145959881,1.3832957705423,1.25640522214502,0.973970071759061,0.618450360714471,0.185805339834139,-0.118815373783614,-0.0427318863016555,0.547771905236304,1.48254341406358,2.52920070212658,3.38067266748458,3.89682394801227,3.98788604803369,3.80690521227519,3.57480346228505,3.43213841432145,3.35387922140461,3.37390728047016,3.45385947653688,3.52400246912089,3.55275271493355,3.56717830700261,3.56417861245808,3.54781502770376,3.53178483196241,3.51432825924052,3.48243868999045,3.43447895404551,3.37841120403155,3.32446473070516,3.28027244897303,3.24664319759042,3.22622716634548,3.2168074771393,3.21426226329949,3.2173126877696,3.22892146221416,3.24926649238331,3.27721534718274,3.30117378495335,3.32926238194308,3.37879436557856,3.45298754865782,3.53760476294198,3.61958411912021,3.68060116794567,3.71055489102729,3.70384181489182,3.67149333263444,3.63415021537353,3.59775453949706,3.55199742692341,3.49744741099259,3.43886936840162,3.37826943218091,3.32215836256296,3.2761445879162,3.24291402840967,3.21853035205175,
ALB,SP.POP.GROW,,3.12085537059054,3.05673050279088,2.95374876199632,2.88068642624326,2.75402123804227,2.63456387954101,2.63019034549493,2.84251071048949,2.8960833877323,2.55085117829323,2.4229720170788,2.49497310670312,2.36255222384825,2.29721417566909,2.3011538096943,2.20823525497527,2.21325217885547,2.07574189532527,1.98945701957156,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,-0.577942252408581,
AND,SP.POP.GROW,,6.96985632680927,6.73036818961066,6.4705130574959,6.25480609587959,5.97822951932495,5.78353260678871,5.51543030450102,5.28191046985633,5.19487498212077,5.16511013599296,5.20118826910704,5.01096133931826,4.88875761113274,4.44425223196837,3.95268990887098,3.44745840090821,3.05828547390712,2.9319677206903,3.15328959294507,3.49318893243574,3.90201892305319,4.2218426916285,4.34987105918406,4.43346898568375,4.32374704496048,4.23054316151367,4.08357519492671,3.99276431193006,3.92527429501465,3.84490142183965,3.88269037194905,3.83610576279813,3.49121025684518,2.75310554386638,1.87145880444739,0.784574655418683,-0.0699403980919813,-0.277133559489405,0.354842094242355,1.57527263657523,2.94444704550301,3.93669093122378,4.37414382506083,4.10952558964603,3.37961909341765,2.65738179504038,2.06144997957326,1.41468175747827,0.714114761731409,-0.008288192290815,-0.839471761400757,-1.58992366767347,-2.03074436920753,-1.94651826894114,-1.55213476921424,-0.898980862435393,-0.38628103925755,0.0142852505031622,0.179041785311253,0.154134127179226,
ARB,SP.POP.GROW,,2.74065902826332,2.75525011786809,2.77368735616473,2.79764445738357,2.82364792740432,2.85824484254375,2.88777165038685,2.8926230884214,2.86706797528188,2.82718368713788,2.77462127510447,2.74360298972427,2.77029068627832,2.86844026400405,3.00716567660106,3.15101379900027,3.2595715827231,3.3180900240461,3.31408770137087,3.26735318177991,3.21018261129551,3.16019345738192,3.10985788252576,3.06323003715438,3.01827051299087,2.9678070783161,2.91216791645041,2.85826732672146,2.80736526036623,3.67835164300692,2.72993845666949,1.84700832269091,2.6987586396223,2.59406853008804,3.11993921974046,2.32851243461954,2.24757101940523,2.17263156826293,2.15024126124933,2.1528456160174,2.15623812076909,2.16101046127129,2.18847252957953,2.24133714677886,2.30717350024108,2.37707985136772,2.43073990210858,2.45395426633077,2.43302064951514,2.38321483027832,2.32938283425813,2.28022577330127,2.22347820095197,2.1605041123413,2.09550643402568,2.02374198504567,1.95522137783333,1.91996644194494,1.9097882611198,1.91891223067044,
ARE,SP.POP.GROW,,8.68373318140969,10.6350095405198,10.9854825248785,9.82554977207001,8.2059465308386,6.53743967137423,5.93902424889565,7.29746920794455,10.6305748337799,14.3793519758952,16.8180831678532,17.6334103002929,17.591425291175,16.9371419010669,15.9506097384214,15.1408825883871,14.2120207491148,12.7685457608344,10.9038730599187,9.00077712461886,7.28971306855853,6.03468268244541,5.31957757018301,5.19561015526368,5.4292532599427,5.70604869218184,5.8501627701888,5.92099629704445,5.88392356970678,5.78426457680606,5.77609632126953,5.80270639549845,5.69212947269737,5.42905215281612,5.12789330874664,5.00776780915701,5.07701222229755,5.17395216108366,5.28964191675103,5.5107500989409,5.24154548212896,5.19315186182676,6.48737308141272,9.17410804804272,12.0199278323734,14.4246687668402,15.1772513526911,13.9101055053539,11.0445985920276,7.68722216681039,4.53624184406951,2.15417385990529,0.614086082306359,0.176775197578861,0.527292387564473,1.05327089864392,1.33947023681167,1.50393782063358,1.43867705802644,1.21942868246666,
ARG,SP.POP.GROW,,1.62471713891428,1.60007942669871,1.57535423790892,1.54925797693851,1.52429496826073,1.49771883580732,1.4776065522093,1.47575331677022,1.49660459689642,1.53152765510278,1.57460250481338,1.60946423674371,1.62267034123002,1.60668460387168,1.57215430748791,1.53044426140499,1.49916050863813,1.48783780913576,1.50374852161979,1.53698027406277,1.5719418140512,1.59643349568329,1.61052873578814,1.61039031434213,1.59856607352161,1.584792373551,1.56894144187589,1.54180357385285,1.50181436290741,1.45296474870991,1.40145510449441,1.35215795127188,1.30605343285023,1.26533343238916,1.22923360808769,1.19362308026821,1.15950491868107,1.1322150155202,1.11338052309698,1.10060813455916,1.09203361158056,1.08355691032176,1.07200471174976,1.05538943935448,1.03626836534216,1.01545457815013,0.998884153148277,0.992570475708135,0.999542288700286,0.752217992640236,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046,0.970053991438048,
