"Data Source","World Development Indicators",

"Last Updated Date","2022-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404.40873186","421.41995507","464.93498885","583.88484831","693.83600068","711.77523868","730.24435933","842.28336453","922.73449922","889.74565916","893.0256368","968.42657848","927.37332957","1003.68039926","1030.07960551","880.63943568","906.3380677","1019.32946628","1042.81411812","999.78458744","","",
"Azerbaijan","AZE","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.13273335","13.44935544","14.88553818","16.39012469","18.01090292","20.52321089","28.33375126","39.74372908","58.15567648","72.0433736","84.47678003","105.61309945","135.19108269","154.06186009","175.29430526","152.77849988","110.94967219","112.46528624","123.31086593","131.24163322","","",
"Burundi","BDI","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52194701","3.46810814","3.28258867","3.00850969","3.51409014","4.49374172","5.79348757","6.51705666","6.58704601","6.92112149","7.44863794","6.40254257","4.88318943","4.62565667","6.14425487","5.99842001","5.65280189","5.98118003","5.34913624","5.07532005","","",
"Belgium","BEL","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","374.18674263","368.24660228","435.10391769","597.43006624","674.53333975","695.84545916","729.37928375","849.98285966","942.50685291","927.48216583","906.86050796","973.42502594","911.34620959","970.21423339","980.51939483","829.97715379","816.47073352","850.31404092","936.35554334","901.4466838","","",
"Benin","BEN","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.33037177","8.3972218","9.21395976","11.45601704","12.54451451","12.33948779","12.85233832","13.70084789","14.36456871","14.15381337","13.97804988","15.24966244","14.626222","15.13387123","15.16123604","12.6782589","12.80842055","13.05866075","13.88446199","13.70157679","","",
"Burkina Faso","BFA","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.18071719","3.29645404","3.35100616","3.93124816","5.37057744","5.55688994","6.59434602","7.6711965","9.25744721","9.97236929","10.24044568","11.48217024","11.29806755","14.69251215","13.51022951","12.08015988","12.86162496","14.10089754","14.42872616","14.69082457","","",
"Bangladesh","BGD","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.22991961","5.44726803","5.81822887","6.4109443","6.92952799","7.5277383","8.02754025","9.42411805","10.61468962","12.05096074","13.98157799","15.39160181","15.82762933","18.27551857","20.801987","23.5910119","25.28833915","27.64385111","30.95901486","33.32731521","","",
"Bulgaria","BGR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.15400848","52.37304568","58.95456691","74.50168036","91.38802304","104.06415449","125.42981713","153.85973502","194.19326779","203.77928443","209.12864583","247.15793351","266.73657098","229.17798203","243.56188153","221.65491819","243.23890901","270.80060836","279.53160865","271.99207399","","",
"Bahrain","BHR","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.26924978","122.94257862","129.39245123","178.6408336","170.06529339","160.78036244","160.2152668","208.99317974","206.26095847","222.60445617","226.63589102","228.99810486","260.36398447","286.98125644","288.26497559","291.67573515","307.55397027","342.78000858","298.28927001","279.60126038","","",
"Bahamas, The","BHS","Out-of-pocket expenditure per capita (current US$)","SH.XPD.OOPC.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280.70205415","304.53366687","317.02887652","326.15258117","340.09228976","370.69080441","388.59350322","406.52403875","414.13289335","397.22928951","412.60552665","416.94434365","450.82541977","449.52297166","473.10107656","497.15141152","497.42224031","527.30131412","547.36939199","525.89106524","","",
