Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Brunei Darussalam,BRN,..,80.50988416,74.31163912,78.2223328,79.90009357,58.58831891,36.99943213,34.46210243,35.10221587,37.07630221,38.14549051,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Bulgaria,BGR,..,38.15400848,247.15793351,266.73657098,229.17798203,243.56188153,221.65491819,243.23890901,270.80060836,279.53160865,271.99207399,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Burkina Faso,BFA,..,3.18071719,11.48217024,11.29806755,14.69251215,13.51022951,12.08015988,12.86162496,14.10089754,14.42872616,14.69082457,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Burundi,BDI,..,3.52194701,6.40254257,4.88318943,4.62565667,6.14425487,5.99842001,5.65280189,5.98118003,5.34913624,5.07532005,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cabo Verde,CPV,..,15.92197902,41.69635044,43.48170335,46.38640345,49.1304819,40.70131314,43.54078534,47.59757976,51.81393128,44.36719749,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cambodia,KHM,..,13.55275099,39.55021073,41.75207009,44.07508151,42.95891584,41.29786101,45.47470502,46.16628884,56.64220194,72.96201047,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cameroon,CMR,..,21.71131628,39.31687539,36.88017765,38.67909693,39.19487731,34.76279315,35.53234812,37.73485337,39.94870096,39.16356814,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Canada,CAN,..,333.41283115,813.58250889,818.00220067,789.10380553,757.45662789,677.53143709,716.19260841,743.39615187,752.26260167,752.94860969,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Central African Republic,CAF,..,4.7910936,12.97433159,13.00070437,8.90413433,10.49386817,9.26794938,12.08834927,16.95546126,22.37424604,22.437169,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Chad,TCD,..,5.76955625,23.42658671,22.23178411,23.43646623,24.39649622,19.91425285,20.05242664,18.11740679,18.52416835,17.08167198,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Chile,CHL,..,152.83391875,341.95769185,360.07430657,396.75464318,392.51695127,388.92678556,407.14870585,453.00714082,483.77868887,451.26379797,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,China,CHN,..,25.32022551,95.17765035,110.51487632,124.41588862,131.38086207,136.88473883,141.95867651,157.63285967,179.13200553,188.5275955,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Colombia,COL,..,18.19260563,76.17760583,96.98444405,98.92097677,94.90454913,71.55866097,69.02755552,75.22414966,77.64474337,73.59094079,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Comoros,COM,..,37.50258026,49.16818205,49.34522952,52.24231773,51.95393693,42.8712875,42.21168506,44.52472124,46.68603398,44.71632973,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Congo, Dem. Rep.",COD,..,10.1492037,4.90318624,5.64496255,6.44093536,7.4985922,7.38787301,7.67389497,7.78972543,7.70654887,7.91911563,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,"Congo, Rep.",COG,..,9.21385264,25.650581,22.27833886,23.14297418,23.26922364,19.52556822,25.19677984,24.96472678,24.85941942,22.27002081,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Costa Rica,CRI,..,78.54357159,193.28269887,192.21991283,191.70307221,202.94786614,199.75812101,195.13928465,183.07692541,203.91617451,205.74000871,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cote d'Ivoire,CIV,..,40.40226801,43.98537893,40.17242587,40.86218639,41.18566095,27.05022709,27.00162791,27.36106729,28.35347215,28.0029971,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Croatia,HRV,..,51.43385716,136.49068144,118.16293923,78.59346643,102.53422389,87.06454869,92.28076897,98.98725935,106.27475487,119.24338834,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Cuba,CUB,..,29.34454268,75.69673839,79.33895787,87.52319808,83.47996941,94.9418795,101.29593871,104.85698618,108.64221573,109.23618403,..
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
